subjectID,first_second_session,combination_of_trials,inserted_position,first_target,second_target,order_of_stimulus,subject,date,c1,c2,c3,c4,c5,c6,c7,c8,c9,retention_task,age
12,1,3,#9,4,9,3,12,2022/9/11,0,0,1,0,0,0,0,0,0,2,children
12,1,3,#9,6,8,4,12,2022/9/11,0,0,1,0,0,0,0,0,0,2,children
12,1,3,#6,5,8,5,12,2022/9/11,0,1,0,0,0,0,0,0,0,1,children
12,1,3,#9,5,8,6,12,2022/9/11,0,1,0,0,0,0,0,0,0,2,children
12,1,3,#9,0,9,7,12,2022/9/11,0,1,0,0,0,0,0,0,0,2,children
12,1,3,#9,5,9,8,12,2022/9/11,0,1,0,0,0,0,0,0,0,2,children
12,1,3,#6,4,9,9,12,2022/9/11,0,1,0,0,0,0,0,0,0,1,children
12,1,3,#9,0,8,10,12,2022/9/11,0,1,0,0,0,0,0,0,0,2,children
12,1,3,#9,6,9,11,12,2022/9/11,0,1,0,0,0,0,0,0,0,2,children
12,1,3,#9,0,5,12,12,2022/9/11,0,1,0,0,0,0,0,0,0,2,children
1,1,1,#6,4,7,1,13,2022/9/11,0,0,1,0,0,0,0,0,0,1,children
1,1,1,#9,5,9,2,13,2022/9/11,0,0,0,0,0,0,0,0,1,2,children
1,1,1,#9,0,4,3,13,2022/9/11,0,0,0,0,0,0,0,0,1,2,children
1,1,1,#6,6,8,4,13,2022/9/11,0,0,0,0,1,0,0,0,0,1,children
1,1,1,#9,4,9,5,13,2022/9/11,0,0,0,0,0,0,0,0,1,2,children
1,1,1,#6,4,9,6,13,2022/9/11,0,0,0,0,0,1,0,0,0,1,children
1,1,1,#9,6,7,7,13,2022/9/11,0,0,0,0,0,0,0,0,1,2,children
1,1,1,#9,0,6,8,13,2022/9/11,0,0,0,0,0,0,0,0,1,2,children
1,1,1,#6,5,7,9,13,2022/9/11,0,0,0,0,0,1,0,0,0,1,children
1,1,1,#9,0,9,10,13,2022/9/11,0,0,0,0,0,0,0,0,1,2,children
1,1,1,#6,6,9,11,13,2022/9/11,0,0,0,0,0,1,0,0,0,1,children
1,1,1,#9,6,9,12,13,2022/9/11,0,0,0,0,0,0,0,0,1,2,children
13,2,1,#6,6,7,1,14,2022/9/16,0,0,0,0,0,1,0,0,0,1,children
13,2,1,#9,4,7,2,14,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
13,2,1,#9,6,8,3,14,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
13,2,1,#6,4,8,4,14,2022/9/16,0,0,0,0,0,0,1,0,0,1,children
13,2,1,#9,0,7,5,14,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
13,2,1,#6,5,8,6,14,2022/9/16,0,0,0,0,0,1,0,0,0,1,children
13,2,1,#9,4,8,7,14,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
13,2,1,#9,0,5,8,14,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
13,2,1,#6,5,9,9,14,2022/9/16,0,0,0,0,0,1,0,0,0,1,children
13,2,1,#9,0,8,10,14,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
13,2,1,#9,5,7,11,14,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
13,2,1,#9,5,8,12,14,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
14,2,3,#9,4,7,1,15,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
14,2,3,#9,5,7,2,15,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
14,2,3,#6,6,8,3,15,2022/9/16,0,0,0,0,0,1,0,0,0,1,children
14,2,3,#9,0,4,4,15,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
14,2,3,#6,5,7,5,15,2022/9/16,0,0,0,0,0,1,0,0,0,1,children
14,2,3,#9,6,7,6,15,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
14,2,3,#6,5,9,7,15,2022/9/16,0,0,0,0,0,1,0,0,0,1,children
14,2,3,#6,6,9,8,15,2022/9/16,0,0,0,0,0,1,0,0,0,1,children
14,2,3,#9,0,7,9,15,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
14,2,3,#9,4,8,10,15,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
14,2,3,#9,0,6,11,15,2022/9/16,0,0,0,0,0,0,0,0,1,2,children
14,2,3,#6,6,7,12,15,2022/9/16,0,0,0,0,0,1,0,0,0,1,children
15,2,2,#9,0,7,1,16,2022/9/17,0,0,0,0,0,0,1,0,0,2,children
15,2,2,#9,6,7,2,16,2022/9/17,0,0,0,0,0,1,1,0,0,2,children
15,2,2,#9,0,4,3,16,2022/9/17,0,0,0,1,0,0,0,0,0,2,children
15,2,2,#6,6,8,4,16,2022/9/17,0,0,0,0,1,0,0,1,0,1,children
